Donante;Banco;Canal de Ingreso;Tratamiento;CBU;Descripción;Estado;Fecha de compromiso;Fecha de fin de compromiso;Fecha para realizar primer cobranza;Forma de Pago;Frecuencia;Moneda;Monto en pesos;Monto en otra moneda;Número de Sobre;Tipo de compromiso;Donó tarjeta donante;Campaña
0036100000rfodH;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;22694;Eventual;TRUE;70161000001VaYA
0036100000rfqAv;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;22695;Eventual;TRUE;70161000001VaYA
0036100000rfqRC;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;400;;22696;Eventual;TRUE;70161000001VaYA
0036100000rfqT1;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;22697;Eventual;TRUE;70161000001VaYA
0036100000rfqaM;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;22698;Eventual;TRUE;70161000001VaYA
0036100000rfrHj;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;22699;Eventual;TRUE;70161000001VaYA
0036100000rfrgd;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;22700;Eventual;TRUE;70161000001VaYA
0036100000rfrpw;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;22701;Eventual;TRUE;70161000001VaYA
0036100000rfsBJ;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;350;;22702;Eventual;TRUE;70161000001VaYA
0036100000rfskS;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;22703;Eventual;TRUE;70161000001VaYA
0036100000rfssZ;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;22704;Eventual;TRUE;70161000001VaYA
0036100000rftII;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;22705;Eventual;TRUE;70161000001VaYA
0036100000rftRR;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;22706;Eventual;TRUE;70161000001VaYA
0036100000rftUI;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;22707;Eventual;TRUE;70161000001VaYA
0036100000rftW4;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;55;;22708;Eventual;TRUE;70161000001VaYA
0036100000rfu7d;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;22709;Eventual;TRUE;70161000001VaYA
0036100000rfuEg;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;22710;Eventual;TRUE;70161000001VaYA
0036100000rfuIy;;Otro;;;;Completo;08/08/2018;08/08/2018;08/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;22711;Eventual;TRUE;70161000001VaYA
