Donante;Banco;Canal de Ingreso;Tratamiento;CBU;Descripción;Estado;Fecha de compromiso;Fecha de fin de compromiso;Fecha para realizar primer cobranza;Forma de Pago;Frecuencia;Moneda;Monto en pesos;Monto en otra moneda;Número de Sobre;Tipo de compromiso;Donó tarjeta donante;Campaña
0036100000rfpkD;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23636;Eventual;TRUE;70161000001VaYY
0036100000rfppn;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;400;;23637;Eventual;TRUE;70161000001VaYY
0036100000rfqWt;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;23638;Eventual;TRUE;70161000001VaYY
0036100000rfrfG;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23639;Eventual;TRUE;70161000001VaYY
0036100000rfrns;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;23640;Eventual;TRUE;70161000001VaYY
0036100000rfsZP;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23641;Eventual;TRUE;70161000001VaYY
0036100000rfsko;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23642;Eventual;TRUE;70161000001VaYY
0036100000rfspd;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;85;;23643;Eventual;TRUE;70161000001VaYY
0036100000rft0B;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;370;;23644;Eventual;TRUE;70161000001VaYY
0036100000rft8y;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23645;Eventual;TRUE;70161000001VaYY
0036100000rftLM;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;400;;23646;Eventual;TRUE;70161000001VaYY
0036100000rftM2;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23647;Eventual;TRUE;70161000001VaYY
0036100000rftez;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;23648;Eventual;TRUE;70161000001VaYY
0036100000rfuH4;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23649;Eventual;TRUE;70161000001VaYY
0036100000rgkvl;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23650;Eventual;TRUE;70161000001VaYY
0036100000rgkwd;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;318.34;;23651;Eventual;TRUE;70161000001VaYY
0036100000rgl1Z;;Otro;;;;Completo;16/8/2018;16/8/2018;16/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;23652;Eventual;TRUE;70161000001VaYY
