Donante;Banco;Canal de Ingreso;Tratamiento;CBU;Descripción;Estado;Fecha de compromiso;Fecha de fin de compromiso;Fecha para realizar primer cobranza;Forma de Pago;Frecuencia;Moneda;Monto en pesos;Monto en otra moneda;Número de Sobre;Tipo de compromiso;Donó tarjeta donante;Campaña
0036100000reMtx;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;24104;Eventual;TRUE;70161000001VaYY
0036100000rdlgi;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;24105;Eventual;TRUE;70161000001VaYY
0036100000rfpxw;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;400;;24106;Eventual;TRUE;70161000001VaYY
0036100000rfraf;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;24107;Eventual;TRUE;70161000001VaYY
0036100000rfsju;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;24108;Eventual;TRUE;70161000001VaYY
0036100000rfsta;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;400;;24109;Eventual;TRUE;70161000001VaYY
0036100000rfstp;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;24110;Eventual;TRUE;70161000001VaYY
0036100000rfsxT;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;24111;Eventual;TRUE;70161000001VaYY
0036100000rftVK;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;24112;Eventual;TRUE;70161000001VaYY
0036100000rftnz;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;5000;;24113;Eventual;TRUE;70161000001VaYY
0036100000rfu4M;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;400;;24114;Eventual;TRUE;70161000001VaYY
0036100000rfu6a;;Otro;;;;Completo;22/8/2018;22/8/2018;22/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;24115;Eventual;TRUE;70161000001VaYY
