Donante;Banco;Canal de Ingreso;Tratamiento;CBU;Descripción;Estado;Fecha de compromiso;Fecha de fin de compromiso;Fecha para realizar primer cobranza;Forma de Pago;Frecuencia;Moneda;Monto en pesos;Monto en otra moneda;Número de Sobre;Tipo de compromiso;Donó tarjeta donante;Campaña
0036100000rfq9L;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;40;;21193;Eventual;TRUE;70161000001VaY9
0036100000rgkvv;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21194;Eventual;FALSE;70161000001VfTh
0036100000rfoFf;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21195;Eventual;FALSE;70161000001VaY9
0036100000rfqrV;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21196;Eventual;TRUE;70161000001VaY9
0036100000rdlkq;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21197;Eventual;TRUE;70161000001VaY9
0036100000rgl1p;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;21198;Eventual;TRUE;70161000001VaY9
0036100000rgloI;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21199;Eventual;FALSE;70161000001VaY9
0036100000rftvt;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21200;Eventual;FALSE;70161000001VaY9
0036100000rfrHh;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21201;Eventual;FALSE;70161000001VaY9
0036100000rftx7;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21202;Eventual;FALSE;70161000001VaY8
0036100000rfq5N;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21203;Eventual;FALSE;70161000001VaY9
0036100000reLul;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21204;Eventual;FALSE;70161000001VaY9
0036100000rfoXr;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;35;;21205;Eventual;FALSE;70161000001VaY9
0036100000rfqmP;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21206;Eventual;TRUE;70161000001VaY9
0036100000rgkqE;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;400;;21207;Eventual;TRUE;70161000001VaY9
0036100000rftYO;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;146.8;;21208;Eventual;TRUE;70161000001VaY9
0036100000rfthG;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21209;Eventual;FALSE;70161000001VaY9
0036100000rglLJ;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;400;;21210;Eventual;TRUE;70161000001VaY9
0036100000rfoVu;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21211;Eventual;FALSE;70161000001VaY9
0036100000reNpk;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;400;;21212;Eventual;TRUE;70161000001VaY9
0036100000rfpjo;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21213;Eventual;TRUE;70161000001VaY9
0036100000rfqTX;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21214;Eventual;FALSE;70161000001VaY9
0036100000rfu4b;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21215;Eventual;FALSE;70161000001VaY9
0036100000rfu4b;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21216;Eventual;FALSE;70161000001VaY9
0036100000rfrvb;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21217;Eventual;FALSE;70161000001VaY9
0036100000rfpkh;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21218;Eventual;FALSE;70161000001VaY8
0036100000reN6F;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21219;Eventual;TRUE;70161000001VaY9
0036100000rfpUs;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21220;Eventual;TRUE;70161000001VaY9
0036100000reNR7;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21221;Eventual;TRUE;70161000001VaY9
0036100000rfqZB;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21222;Eventual;TRUE;70161000001VaY9
0036100000rgmn5;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21223;Eventual;TRUE;70161000001VaY9
0036100000rftBP;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21224;Eventual;TRUE;70161000001VaY9
0036100000rglMR;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21225;Eventual;FALSE;70161000001VaY9
0036100000rfoko;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21226;Eventual;FALSE;70161000001VaY9
0036100000rfo7t;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21227;Eventual;FALSE;70161000001VaY9
0036100000rgm2r;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21228;Eventual;FALSE;70161000001VaY8
0036100000rfrjN;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21229;Eventual;FALSE;70161000001VaY9
0036100001KGZ7h;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21230;Eventual;FALSE;70161000001VaY8
0036100000rfqM0;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21231;Eventual;TRUE;70161000001VaY9
0036100000rgllR;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21232;Eventual;FALSE;70161000001VaY9
0036100000rgmwb;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;95;;21233;Eventual;FALSE;70161000001VaY9
0036100000rfrOg;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21234;Eventual;FALSE;70161000001VaY9
0036100000rftQS;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21235;Eventual;FALSE;70161000001VaY9
0036100000rglyk;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21236;Eventual;TRUE;70161000001VaY9
0036100000rfqDH;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21237;Eventual;TRUE;70161000001VaY9
0036100000rfqka;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21238;Eventual;FALSE;70161000001VaY9
0036100000rfu98;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21239;Eventual;TRUE;70161000001VaY9
0036100000rfo8Y;;Otro;;;;Completo;27/07/2018;27/07/2018;27/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21240;Eventual;TRUE;70161000001VaY9
