Donante;Banco;Canal de Ingreso;Tratamiento;CBU;Descripción;Estado;Fecha de compromiso;Fecha de fin de compromiso;Fecha para realizar primer cobranza;Forma de Pago;Frecuencia;Moneda;Monto en pesos;Monto en otra moneda;Número de Sobre;Tipo de compromiso;Donó tarjeta donante;Campaña
0036100000reLkP;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21732;Eventual;TRUE;70161000001VaYA
0036100000reNcd;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;700;;21733;Eventual;TRUE;70161000001VaYA
0036100000reO7D;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21734;Eventual;TRUE;70161000001VaYA
0036100000rfq9L;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;65;;21735;Eventual;TRUE;70161000001VaYA
0036100000rfqQw;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21736;Eventual;TRUE;70161000001VaYA
0036100000rfqjm;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21737;Eventual;TRUE;70161000001VaYA
0036100000rfqkG;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;21738;Eventual;TRUE;70161000001VaYA
0036100000rfrPh;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;250;;21739;Eventual;TRUE;70161000001VaYA
0036100000rfrQk;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;21740;Eventual;TRUE;70161000001VaYA
0036100000rfre6;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21741;Eventual;TRUE;70161000001VaYA
0036100000rfroO;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;800;;21742;Eventual;TRUE;70161000001VaYA
0036100000rfrqs;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21743;Eventual;TRUE;70161000001VaYA
0036100000rfrvV;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;21744;Eventual;TRUE;70161000001VaYA
0036100000rfrys;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21745;Eventual;TRUE;70161000001VaYA
0036100000rfsZ9;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21746;Eventual;TRUE;70161000001VaYA
0036100000rfshi;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21747;Eventual;TRUE;70161000001VaYA
0036100000rfsqf;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21748;Eventual;TRUE;70161000001VaYA
0036100000rfsvq;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21749;Eventual;TRUE;70161000001VaYA
0036100000rfszu;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21750;Eventual;TRUE;70161000001VaYA
0036100000rft0T;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21751;Eventual;TRUE;70161000001VaYA
0036100000rftDu;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21752;Eventual;TRUE;70161000001VaYA
0036100000rftEz;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;250;;21753;Eventual;TRUE;70161000001VaYA
0036100000rftJH;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21754;Eventual;TRUE;70161000001VaYA
0036100000rftME;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;70;;21755;Eventual;TRUE;70161000001VaYA
0036100000rftOp;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21756;Eventual;TRUE;70161000001VaYA
0036100000rftQB;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;21757;Eventual;TRUE;70161000001VaYA
0036100000rftTz;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;80;;21758;Eventual;TRUE;70161000001VaYA
0036100000rfteM;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21759;Eventual;TRUE;70161000001VaYA
0036100000rftf4;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;250;;21760;Eventual;TRUE;70161000001VaYA
0036100000rftp0;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;800;;21761;Eventual;TRUE;70161000001VaYA
0036100000rfu6b;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21762;Eventual;TRUE;70161000001VaYA
0036100000rfu8S;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21763;Eventual;TRUE;70161000001VaYA
