Donante;Banco;Canal de Ingreso;Tratamiento;CBU;Descripción;Estado;Fecha de compromiso;Fecha de fin de compromiso;Fecha para realizar primer cobranza;Forma de Pago;Frecuencia;Moneda;Monto en pesos;Monto en otra moneda;Número de Sobre;Tipo de compromiso;Donó tarjeta donante;Campaña
0036100000rfpiq;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23160;Eventual;TRUE;70161000001VaYA
0036100000rfpot;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23161;Eventual;TRUE;70161000001VaYA
0036100000rfpy1;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23162;Eventual;TRUE;70161000001VaYA
0036100000rfq9L;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;70;;23163;Eventual;TRUE;70161000001VaYA
0036100000rfqTp;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;250;;23164;Eventual;TRUE;70161000001VaYA
0036100000rfqck;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23165;Eventual;TRUE;70161000001VaYA
0036100000rfr2W;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23166;Eventual;TRUE;70161000001VaYA
0036100000rfr2p;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;23167;Eventual;TRUE;70161000001VaYA
0036100000rfrFb;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23168;Eventual;TRUE;70161000001VaYA
0036100000rfrLl;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23169;Eventual;TRUE;70161000001VaYA
0036100000rfsgr;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;250;;23170;Eventual;TRUE;70161000001VaYA
0036100000rfspn;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23171;Eventual;TRUE;70161000001VaYA
0036100000rfsqs;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;23172;Eventual;TRUE;70161000001VaYA
0036100000rftHV;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;23173;Eventual;TRUE;70161000001VaYA
0036100000rftOg;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;23174;Eventual;TRUE;70161000001VaYA
0036100000rftVr;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;23175;Eventual;TRUE;70161000001VaYA
0036100000rftui;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;23176;Eventual;TRUE;70161000001VaYA
0036100000rfu1s;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23177;Eventual;TRUE;70161000001VaYA
0036100000rfu6r;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23178;Eventual;TRUE;70161000001VaYA
0036100000rfuBS;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;350;;23179;Eventual;TRUE;70161000001VaYA
0036100000rfuDx;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23180;Eventual;TRUE;70161000001VaYA
0036100000rgkut;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;23181;Eventual;TRUE;70161000001VaYA
0036100000rgkyD;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;120;;23182;Eventual;TRUE;70161000001VaYA
0036100000rgl5z;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;23183;Eventual;TRUE;70161000001VaYA
0036100000rgl6r;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23184;Eventual;TRUE;70161000001VaYA
0036100000rglMS;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23185;Eventual;TRUE;70161000001VaYA
0036100000rglOV;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;600;;23186;Eventual;TRUE;70161000001VaYA
0036100000rglRv;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;130;;23187;Eventual;TRUE;70161000001VaYA
0036100000rgleV;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;1500;;23188;Eventual;TRUE;70161000001VaYA
0036100000rgm39;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;23189;Eventual;TRUE;70161000001VaYA
0036100000rgm5V;;Otro;;;;Completo;13/08/2018;13/08/2018;13/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23190;Eventual;TRUE;70161000001VaYA
