Donante;Banco;Canal de Ingreso;Tratamiento;CBU;Descripción;Estado;Fecha de compromiso;Fecha de fin de compromiso;Fecha para realizar primer cobranza;Forma de Pago;Frecuencia;Moneda;Monto en pesos;Monto en otra moneda;Número de Sobre;Tipo de compromiso;Donó tarjeta donante;Campaña
0036100000rgm2Q;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;700;;20728;Eventual;TRUE;70161000001VaY9
0036100000rfo1U;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;250;;20729;Eventual;TRUE;70161000001VaY9
0036100000rfpdC;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;30;;20730;Eventual;TRUE;70161000001VaY9
0036100000rfrKS;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;20731;Eventual;TRUE;70161000001VaY9
0036100000rfrfC;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;20732;Eventual;TRUE;70161000001VaY9
0036100000rfrwS;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;20733;Eventual;TRUE;70161000001VaY9
0036100000rfsoQ;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;20734;Eventual;TRUE;70161000001VaY9
0036100000rftAn;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;20735;Eventual;TRUE;70161000001VaY9
0036100000rftMu;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;20736;Eventual;TRUE;70161000001VaY9
0036100000rftXY;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;400;;20737;Eventual;TRUE;70161000001VaY9
0036100000rftnz;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;20738;Eventual;TRUE;70161000001VaY9
0036100000rftnz;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;20739;Eventual;TRUE;70161000001VaY9
0036100000rftnz;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;20740;Eventual;TRUE;70161000001VaY9
0036100000rftnz;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;20741;Eventual;TRUE;70161000001VaY9
0036100000rftnz;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;20742;Eventual;TRUE;70161000001VaY9
0036100000rfuEx;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;20743;Eventual;TRUE;70161000001VaY9
0036100000rfuK5;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;20744;Eventual;TRUE;70161000001VaY9
0036100000rfuM7;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;20;;20745;Eventual;TRUE;70161000001VaY9
0036100000rgkuY;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;20746;Eventual;TRUE;70161000001VaY9
0036100000rglRH;;Otro;;;;Completo;24/07/2018;24/07/2018;24/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;20747;Eventual;TRUE;70161000001VaY9
