Donante;Banco;Canal de Ingreso;Tratamiento;CBU;Descripción;Estado;Fecha de compromiso;Fecha de fin de compromiso;Fecha para realizar primer cobranza;Forma de Pago;Frecuencia;Moneda;Monto en pesos;Monto en otra moneda;Número de Sobre;Tipo de compromiso;Donó tarjeta donante;Campaña
0036100000rglh5;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;23354;Eventual;TRUE;70161000001VaYA
0036100000reMw9;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;23355;Eventual;TRUE;70161000001VaYA
0036100000reO0l;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;23356;Eventual;TRUE;70161000001VaYA
0036100000rfpkH;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;23357;Eventual;TRUE;70161000001VaYA
0036100000rfpnM;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23358;Eventual;TRUE;70161000001VaYA
0036100000rfqMF;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;23359;Eventual;TRUE;70161000001VaYA
0036100000rfqfB;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23360;Eventual;TRUE;70161000001VaYA
0036100000rfrqM;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;34;;23361;Eventual;TRUE;70161000001VaYA
0036100000rfs9N;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23362;Eventual;TRUE;70161000001VaYA
0036100000rfsZA;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;265;;23363;Eventual;TRUE;70161000001VaYA
0036100000rfsrE;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;23364;Eventual;TRUE;70161000001VaYA
0036100000rfsxx;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;23365;Eventual;TRUE;70161000001VaYA
0036100000rft3Q;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;600;;23366;Eventual;TRUE;70161000001VaYA
0036100000rft7S;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;1400;;23367;Eventual;TRUE;70161000001VaYA
0036100000rftDl;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;350;;23368;Eventual;TRUE;70161000001VaYA
0036100000rftFO;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;1500;;23369;Eventual;TRUE;70161000001VaYA
0036100000rftS7;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23370;Eventual;TRUE;70161000001VaYA
0036100000rftTB;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23371;Eventual;TRUE;70161000001VaYA
0036100000rftnv;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;30;;23372;Eventual;TRUE;70161000001VaYA
0036100000rftuO;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23373;Eventual;TRUE;70161000001VaYA
0036100000rftwr;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;23374;Eventual;TRUE;70161000001VaYA
0036100000rfuCG;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23375;Eventual;TRUE;70161000001VaYA
0036100000rfuCT;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;67.2;;23376;Eventual;TRUE;70161000001VaYA
0036100000rfuEY;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;23377;Eventual;TRUE;70161000001VaYA
0036100000rgkrk;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;12.06;;23378;Eventual;TRUE;70161000001VaYA
0036100000rgl18;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;23379;Eventual;TRUE;70161000001VaYA
0036100000rgl2X;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;23380;Eventual;TRUE;70161000001VaYA
0036100000rgl5r;;Otro;;;;Completo;14/8/2018;14/8/2018;14/8/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;23381;Eventual;TRUE;70161000001VaYA
