Donante;Banco;Canal de Ingreso;Tratamiento;CBU;Descripción;Estado;Fecha de compromiso;Fecha de fin de compromiso;Fecha para realizar primer cobranza;Forma de Pago;Frecuencia;Moneda;Monto en pesos;Monto en otra moneda;Número de Sobre;Tipo de compromiso;Donó tarjeta donante;Campaña
0036100000rglII;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21536;Eventual;TRUE;70161000001VaY9
0036100000rgm2N;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21537;Eventual;FALSE;70161000000RCYr
0036100000rglgY;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21538;Eventual;TRUE;70161000001VaY9
0036100000rfpjf;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21539;Eventual;TRUE;70161000001VaY9
0036100000reNlJ;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;45;;21540;Eventual;FALSE;70161000001VaY9
0036100000reMw9;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21541;Eventual;TRUE;70161000001VaY9
0036100000rdlgi;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21542;Eventual;TRUE;70161000001VaY9
0036100000rfny2;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21543;Eventual;TRUE;70161000001VaY9
0036100000rfphy;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21544;Eventual;TRUE;70161000001VaY9
0036100000rfpiG;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21545;Eventual;TRUE;70161000001VaY9
0036100000rfpiG;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21546;Eventual;TRUE;70161000001VaY9
0036100000rfrvY;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21547;Eventual;TRUE;70161000001VaY9
0036100000rfsFj;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21548;Eventual;TRUE;70161000001VaY9
0036100000rfsWc;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21549;Eventual;TRUE;70161000001VaY9
0036100000rfsny;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;250;;21550;Eventual;TRUE;70161000001VaY9
0036100000rft1L;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21551;Eventual;TRUE;70161000001VaY9
0036100000rft1L;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21552;Eventual;TRUE;70161000001VaY9
0036100000rft1L;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21553;Eventual;TRUE;70161000001VaY9
0036100000rft8L;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21554;Eventual;TRUE;70161000001VaY9
0036100000rftDl;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;350;;21555;Eventual;TRUE;70161000001VaY9
0036100000rftEs;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;65;;21556;Eventual;TRUE;70161000001VaY9
0036100000rftIE;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21557;Eventual;TRUE;70161000001VaY9
0036100000rftIE;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21558;Eventual;TRUE;70161000001VaY9
0036100000rftNF;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21559;Eventual;TRUE;70161000001VaY9
0036100000rftOs;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21560;Eventual;TRUE;70161000001VaY9
0036100000rftOs;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21561;Eventual;TRUE;70161000001VaY9
0036100000rftfH;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;106.7;;21562;Eventual;TRUE;70161000001VaY9
0036100000rftpf;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21563;Eventual;TRUE;70161000001VaY9
0036100000rfuC2;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;400;;21564;Eventual;TRUE;70161000001VaY9
0036100000rfuCF;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21565;Eventual;TRUE;70161000001VaY9
0036100000rgkrk;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;27.37;;21566;Eventual;TRUE;70161000001VaY9
0036100000rgkux;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21567;Eventual;TRUE;70161000001VaY9
0036100000rgkyW;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21568;Eventual;TRUE;70161000001VaY9
0036100000rglLs;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21569;Eventual;TRUE;70161000001VaY9
0036100000rglQR;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;80;;21570;Eventual;TRUE;70161000001VaY9
0036100000rglne;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21571;Eventual;TRUE;70161000001VaY9
0036100000rglxo;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;700;;21572;Eventual;TRUE;70161000001VaY9
0036100000rgmED;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21573;Eventual;TRUE;70161000001VaY9
0036100000rgmMf;;Otro;;;;Completo;31/07/2018;31/07/2018;31/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21574;Eventual;TRUE;70161000001VaY9
